tweets,a,b,c,d,e,f,g,h,i,f
"GreenIsTweet;2011-04-29 18:44;0;0;""Can We Have a Sustainable Conversation on # Climate Change? http://bit.ly/iXk12B # environment"";;;# #;""64112973626609664"";https://twitter.com/GreenIsTweet/status/64112973626609664  ",,,,,"GreenIsTweet;2011-04-29 18:44;0;0;""Can We Have a Sustainable Conversation on # Climate Change? http://bit.ly/iXk12B # environment"";;;# #;""64112973626609664"";https://twitter.com/GreenIsTweet/status/64112973626609664",,,,"GreenIsTweet;2011-04-29 18:44;0;0;""Can We Have a Sustainable Conversation on # Climate Change? http://bit.ly/iXk12B # environment"";;;# #;""64112973626609664"";https://twitter.com/GreenIsTweet/status/64112973626609664 ",
"ecohouses;2011-04-29 18:44;1;0;""Why So Many Tornadoes?: The tornado horrors ravaging the south swiftly reignited the debate over climate change.... http://bit.ly/krZg0v"";;;;""64112969952407552"";https://twitter.com/ecohouses/status/64112969952407552  ",,,,,"ecohouses;2011-04-29 18:44;1;0;""Why So Many Tornadoes?: The tornado horrors ravaging the south swiftly reignited the debate over climate change.... http://bit.ly/krZg0v"";;;;""64112969952407552"";https://twitter.com/ecohouses/status/64112969952407552",,,,"ecohouses;2011-04-29 18:44;1;0;""Why So Many Tornadoes?: The tornado horrors ravaging the south swiftly reignited the debate over climate change.... http://bit.ly/krZg0v"";;;;""64112969952407552"";https://twitter.com/ecohouses/status/64112969952407552 ",
"AGW_IS_A_HOAX;2011-04-29 18:44;1;0;""Hansen Tries To Change The Rules Mid-Stream http://stevengoddard.wordpress.com/2011/04/29/hansen-tries-to-change-the-rules-mid-stream/ … # AGW # Eco # Green # Climate # Cop16 # CO2 # GlobalWarming # ClimateChange"";;;# # # # # # # #;""64112734471602176"";https://twitter.com/AGW_IS_A_HOAX/status/64112734471602176  ",,,,,"AGW_IS_A_HOAX;2011-04-29 18:44;1;0;""Hansen Tries To Change The Rules Mid-Stream http://stevengoddard.wordpress.com/2011/04/29/hansen-tries-to-change-the-rules-mid-stream/ … # AGW # Eco # Green # Climate # Cop16 # CO2 # GlobalWarming # ClimateChange"";;;# # # # # # # #;""64112734471602176"";https://twitter.com/AGW_IS_A_HOAX/status/64112734471602176",,,,"AGW_IS_A_HOAX;2011-04-29 18:44;1;0;""Hansen Tries To Change The Rules Mid-Stream http://stevengoddard.wordpress.com/2011/04/29/hansen-tries-to-change-the-rules-mid-stream/ … # AGW # Eco # Green # Climate # Cop16 # CO2 # GlobalWarming # ClimateChange"";;;# # # # # # # #;""64112734471602176"";https://twitter.com/AGW_IS_A_HOAX/status/64112734471602176 ",
"lgstarr;2011-04-29 18:43;0;0;""Dear Al: US meteorologists warned Thursday it would be a mistake to blame climate change for a seeming increase in t... http://nblo.gs/hgO7P"";;;;""64112670000943104"";https://twitter.com/lgstarr/status/64112670000943104  ",,,,,"lgstarr;2011-04-29 18:43;0;0;""Dear Al: US meteorologists warned Thursday it would be a mistake to blame climate change for a seeming increase in t... http://nblo.gs/hgO7P"";;;;""64112670000943104"";https://twitter.com/lgstarr/status/64112670000943104",,,,"lgstarr;2011-04-29 18:43;0;0;""Dear Al: US meteorologists warned Thursday it would be a mistake to blame climate change for a seeming increase in t... http://nblo.gs/hgO7P"";;;;""64112670000943104"";https://twitter.com/lgstarr/status/64112670000943104 ",
"yesforteachers;2011-04-29 18:43;0;0;""Get your sky sight on! Giant  human  live # paintings help us see the planet in a new way http://bit.my/DtUo # climatechange"";;;# #;""64112610777366528"";https://twitter.com/yesforteachers/status/64112610777366528",," live # paintings help us see the planet in a new way http://bit.my/DtUo # climatechange"";;;# #;""64112610777366528"";https://twitter.com/yesforteachers/status/64112610777366528",,,"yesforteachers;2011-04-29 18:43;0;0;""Get your sky sight on! Giant",, human,,"yesforteachers;2011-04-29 18:43;0;0;""Get your sky sight on! Giant  human",
"InquisitionNews;2011-04-29 18:43;0;0;""Top Climate Scientist On The Monster Tornadoes: 'It Is Irresponsible Not To Mention Climate Change' (Brad J... http://bit.ly/l1uKlV (MF)"";;;;""64112598093807616"";https://twitter.com/InquisitionNews/status/64112598093807616  ",,,,,"InquisitionNews;2011-04-29 18:43;0;0;""Top Climate Scientist On The Monster Tornadoes: 'It Is Irresponsible Not To Mention Climate Change' (Brad J... http://bit.ly/l1uKlV (MF)"";;;;""64112598093807616"";https://twitter.com/InquisitionNews/status/64112598093807616",,,,"InquisitionNews;2011-04-29 18:43;0;0;""Top Climate Scientist On The Monster Tornadoes: 'It Is Irresponsible Not To Mention Climate Change' (Brad J... http://bit.ly/l1uKlV (MF)"";;;;""64112598093807616"";https://twitter.com/InquisitionNews/status/64112598093807616 ",
"Bluzfn5;2011-04-29 18:42;0;0;""Protect Our Forests from Climate Change: http://bit.ly/hSEmvH via @ addthis"";;@;;""64112346431361024"";https://twitter.com/Bluzfn5/status/64112346431361024  ",,,,,"Bluzfn5;2011-04-29 18:42;0;0;""Protect Our Forests from Climate Change: http://bit.ly/hSEmvH via @ addthis"";;@;;""64112346431361024"";https://twitter.com/Bluzfn5/status/64112346431361024",,,,"Bluzfn5;2011-04-29 18:42;0;0;""Protect Our Forests from Climate Change: http://bit.ly/hSEmvH via @ addthis"";;@;;""64112346431361024"";https://twitter.com/Bluzfn5/status/64112346431361024 ",
"browercenter;2011-04-29 18:42;3;0;""Sen. Tom Udall's Lonely Climate-Change Crusade - Yahoo! News http://yhoo.it/jHFhxS"";;;;""64112295344746496"";https://twitter.com/browercenter/status/64112295344746496  ",,,,,"browercenter;2011-04-29 18:42;3;0;""Sen. Tom Udall's Lonely Climate-Change Crusade - Yahoo! News http://yhoo.it/jHFhxS"";;;;""64112295344746496"";https://twitter.com/browercenter/status/64112295344746496",,,,"browercenter;2011-04-29 18:42;3;0;""Sen. Tom Udall's Lonely Climate-Change Crusade - Yahoo! News http://yhoo.it/jHFhxS"";;;;""64112295344746496"";https://twitter.com/browercenter/status/64112295344746496 ",
"Wrldwdetherapy;2011-04-29 18:42;0;0;""Sen. Tom Udall's Lonely Climate-Change Crusade - Yahoo! News http://yhoo.it/jHFhxS"";;;;""64112265632284672"";https://twitter.com/Wrldwdetherapy/status/64112265632284672  ",,,,,"Wrldwdetherapy;2011-04-29 18:42;0;0;""Sen. Tom Udall's Lonely Climate-Change Crusade - Yahoo! News http://yhoo.it/jHFhxS"";;;;""64112265632284672"";https://twitter.com/Wrldwdetherapy/status/64112265632284672",,,,"Wrldwdetherapy;2011-04-29 18:42;0;0;""Sen. Tom Udall's Lonely Climate-Change Crusade - Yahoo! News http://yhoo.it/jHFhxS"";;;;""64112265632284672"";https://twitter.com/Wrldwdetherapy/status/64112265632284672 ",
"Floridaline;2011-04-29 18:41;0;0;""We have been warned. On most issues we ask children to listen to their parents. On climate change  it is the (cont) http://tl.gd/a5n0ae"";;;;""64112053794779138"";https://twitter.com/Floridaline/status/64112053794779138 ",,,,,"Floridaline;2011-04-29 18:41;0;0;""We have been warned. On most issues we ask children to listen to their parents. On climate change",," it is the (cont) http://tl.gd/a5n0ae"";;;;""64112053794779138"";https://twitter.com/Floridaline/status/64112053794779138",,"Floridaline;2011-04-29 18:41;0;0;""We have been warned. On most issues we ask children to listen to their parents. On climate change  it is the (cont) http://tl.gd/a5n0ae"";;;;""64112053794779138"";https://twitter.com/Floridaline/status/64112053794779138",
