tweets,a,b,c,d,e,f,g,h,i,f
"JaniceChase;2011-04-29 14:22;0;0;""Climate change could spawn more tornadoes http://bit.ly/NTFig"";;;;""64046966245556224"";https://twitter.com/JaniceChase/status/64046966245556224  ",,,,,"JaniceChase;2011-04-29 14:22;0;0;""Climate change could spawn more tornadoes http://bit.ly/NTFig"";;;;""64046966245556224"";https://twitter.com/JaniceChase/status/64046966245556224",,,,"JaniceChase;2011-04-29 14:22;0;0;""Climate change could spawn more tornadoes http://bit.ly/NTFig"";;;;""64046966245556224"";https://twitter.com/JaniceChase/status/64046966245556224 ",
"NewtLIvesay;2011-04-29 14:22;0;0;""@ mindAGW Pardner  it is a SCAM. There is always Climate Change  but man kind is not causing it all. It is part of the natural cycle."";;@;;""64046914211020800"";https://twitter.com/NewtLIvesay/status/64046914211020800",," but man kind is not causing it all. It is part of the natural cycle."";;@;;""64046914211020800"";https://twitter.com/NewtLIvesay/status/64046914211020800",,,"NewtLIvesay;2011-04-29 14:22;0;0;""@ mindAGW Pardner",, it is a SCAM. There is always Climate Change,,"NewtLIvesay;2011-04-29 14:22;0;0;""@ mindAGW Pardner  it is a SCAM. There is always Climate Change",
"lazarogonzale;2011-04-29 14:22;0;0;""The Latest Climate Change Hoax Now Being Blamed for Tornado Devastation in South http://nblo.gs/hgskz"";;;;""64046824578748420"";https://twitter.com/lazarogonzale/status/64046824578748420  ",,,,,"lazarogonzale;2011-04-29 14:22;0;0;""The Latest Climate Change Hoax Now Being Blamed for Tornado Devastation in South http://nblo.gs/hgskz"";;;;""64046824578748420"";https://twitter.com/lazarogonzale/status/64046824578748420",,,,"lazarogonzale;2011-04-29 14:22;0;0;""The Latest Climate Change Hoax Now Being Blamed for Tornado Devastation in South http://nblo.gs/hgskz"";;;;""64046824578748420"";https://twitter.com/lazarogonzale/status/64046824578748420 ",
"floodtechs;2011-04-29 14:20;0;0;""# United States # Wisconsin # Wisconsin Dells # WorlandTornadoes revive debate about climate change and extreme weather - The Hill (blog)"";;;# # # #;""64046319668436993"";https://twitter.com/floodtechs/status/64046319668436993  ",,,,,"floodtechs;2011-04-29 14:20;0;0;""# United States # Wisconsin # Wisconsin Dells # WorlandTornadoes revive debate about climate change and extreme weather - The Hill (blog)"";;;# # # #;""64046319668436993"";https://twitter.com/floodtechs/status/64046319668436993",,,,"floodtechs;2011-04-29 14:20;0;0;""# United States # Wisconsin # Wisconsin Dells # WorlandTornadoes revive debate about climate change and extreme weather - The Hill (blog)"";;;# # # #;""64046319668436993"";https://twitter.com/floodtechs/status/64046319668436993 ",
"ondrock;2011-04-29 14:19;0;0;""Into The Crapper Goes IPCC's CO2 ""Consensus"" Science: New Research Points To Ozone As Driving Climate Change http://bit.ly/f3RN76 @ Bloomdido"";;@;;""64046179389935616"";https://twitter.com/ondrock/status/64046179389935616  ",,,,,"ondrock;2011-04-29 14:19;0;0;""Into The Crapper Goes IPCC's CO2 ""Consensus"" Science: New Research Points To Ozone As Driving Climate Change http://bit.ly/f3RN76 @ Bloomdido"";;@;;""64046179389935616"";https://twitter.com/ondrock/status/64046179389935616",,,,"ondrock;2011-04-29 14:19;0;0;""Into The Crapper Goes IPCC's CO2 ""Consensus"" Science: New Research Points To Ozone As Driving Climate Change http://bit.ly/f3RN76 @ Bloomdido"";;@;;""64046179389935616"";https://twitter.com/ondrock/status/64046179389935616 ",
"diydanna;2011-04-29 14:18;0;0;""Follow organizations that research and report atmospheric science  climate change: @ EarthVitalSigns  @ EnvDefenseFund",, @ EnvDefenseFund,,,"diydanna;2011-04-29 14:18;0;0;""Follow organizations that research and report atmospheric science",, climate change: @ EarthVitalSigns,,"diydanna;2011-04-29 14:18;0;0;""Follow organizations that research and report atmospheric science  climate change: @ EarthVitalSigns",
"B_Fair_Project;2011-04-29 14:18;0;0;""Are US Floods  Fires Linked to Climate Change? http://www.b-fair.net/?p=2163 # Bfair"";;;#;""64045814527438848"";https://twitter.com/B_Fair_Project/status/64045814527438848 ",,,,,"B_Fair_Project;2011-04-29 14:18;0;0;""Are US Floods",," Fires Linked to Climate Change? http://www.b-fair.net/?p=2163 # Bfair"";;;#;""64045814527438848"";https://twitter.com/B_Fair_Project/status/64045814527438848",,"B_Fair_Project;2011-04-29 14:18;0;0;""Are US Floods  Fires Linked to Climate Change? http://www.b-fair.net/?p=2163 # Bfair"";;;#;""64045814527438848"";https://twitter.com/B_Fair_Project/status/64045814527438848",
"NewsReactions;2011-04-29 14:17;0;0;""Heartland Institute will host its sixth International Conference on Climate Change ... - http://bit.ly/mdkTYB"";;;;""64045608696152066"";https://twitter.com/NewsReactions/status/64045608696152066  ",,,,,"NewsReactions;2011-04-29 14:17;0;0;""Heartland Institute will host its sixth International Conference on Climate Change ... - http://bit.ly/mdkTYB"";;;;""64045608696152066"";https://twitter.com/NewsReactions/status/64045608696152066",,,,"NewsReactions;2011-04-29 14:17;0;0;""Heartland Institute will host its sixth International Conference on Climate Change ... - http://bit.ly/mdkTYB"";;;;""64045608696152066"";https://twitter.com/NewsReactions/status/64045608696152066 ",
"STAND_For_FLAG_;2011-04-29 14:16;0;0;""@ thehill @e2wireTornadoes revive debate about climate change and extreme weather- Earth's weather fluctuates; tornadoes have peak years."";;@ @e2wireTornadoes;;""64045514521452544"";https://twitter.com/STAND_For_FLAG_/status/64045514521452544  ",,,,,"STAND_For_FLAG_;2011-04-29 14:16;0;0;""@ thehill @e2wireTornadoes revive debate about climate change and extreme weather- Earth's weather fluctuates; tornadoes have peak years."";;@ @e2wireTornadoes;;""64045514521452544"";https://twitter.com/STAND_For_FLAG_/status/64045514521452544",,,,"STAND_For_FLAG_;2011-04-29 14:16;0;0;""@ thehill @e2wireTornadoes revive debate about climate change and extreme weather- Earth's weather fluctuates; tornadoes have peak years."";;@ @e2wireTornadoes;;""64045514521452544"";https://twitter.com/STAND_For_FLAG_/status/64045514521452544 ",
"superecostar;2011-04-29 14:14;0;0;""Environment news: 2011 Tornadoes: Is Climate Change To Blame For The Devastating Weather? http://bit.ly/jMMNZd"";;;;""64044924030562304"";https://twitter.com/superecostar/status/64044924030562304  ",,,,,"superecostar;2011-04-29 14:14;0;0;""Environment news: 2011 Tornadoes: Is Climate Change To Blame For The Devastating Weather? http://bit.ly/jMMNZd"";;;;""64044924030562304"";https://twitter.com/superecostar/status/64044924030562304",,,,"superecostar;2011-04-29 14:14;0;0;""Environment news: 2011 Tornadoes: Is Climate Change To Blame For The Devastating Weather? http://bit.ly/jMMNZd"";;;;""64044924030562304"";https://twitter.com/superecostar/status/64044924030562304 ",
"newsenergy;2011-04-29 14:14;0;0;""Environment news: 2011 Tornadoes: Is Climate Change To Blame For The Devastating Weather? http://bit.ly/jMMNZd"";;;;""64044923292360704"";https://twitter.com/newsenergy/status/64044923292360704  ",,,,,"newsenergy;2011-04-29 14:14;0;0;""Environment news: 2011 Tornadoes: Is Climate Change To Blame For The Devastating Weather? http://bit.ly/jMMNZd"";;;;""64044923292360704"";https://twitter.com/newsenergy/status/64044923292360704",,,,"newsenergy;2011-04-29 14:14;0;0;""Environment news: 2011 Tornadoes: Is Climate Change To Blame For The Devastating Weather? http://bit.ly/jMMNZd"";;;;""64044923292360704"";https://twitter.com/newsenergy/status/64044923292360704 ",
"ecomother;2011-04-29 14:14;0;0;""Environment news: 2011 Tornadoes: Is Climate Change To Blame For The Devastating Weather? http://bit.ly/jMMNZd"";;;;""64044922780659712"";https://twitter.com/ecomother/status/64044922780659712  ",,,,,"ecomother;2011-04-29 14:14;0;0;""Environment news: 2011 Tornadoes: Is Climate Change To Blame For The Devastating Weather? http://bit.ly/jMMNZd"";;;;""64044922780659712"";https://twitter.com/ecomother/status/64044922780659712",,,,"ecomother;2011-04-29 14:14;0;0;""Environment news: 2011 Tornadoes: Is Climate Change To Blame For The Devastating Weather? http://bit.ly/jMMNZd"";;;;""64044922780659712"";https://twitter.com/ecomother/status/64044922780659712 ",
"Judeet88;2011-04-29 14:13;0;0;""Massive storms  destruction  floods",, floods,,,"Judeet88;2011-04-29 14:13;0;0;""Massive storms",, destruction,,"Judeet88;2011-04-29 14:13;0;0;""Massive storms  destruction",
"revbillytalen;2011-04-29 14:12;2;0;""Deny # climatechange all you want - # tornadoes don't hesitate to tell us what 392 ppm CO-2 means. TWISTERS TELL THE TRUTH. # Earthalujah!"";;;# # #;""64044339638185984"";https://twitter.com/revbillytalen/status/64044339638185984  ",,,,,"revbillytalen;2011-04-29 14:12;2;0;""Deny # climatechange all you want - # tornadoes don't hesitate to tell us what 392 ppm CO-2 means. TWISTERS TELL THE TRUTH. # Earthalujah!"";;;# # #;""64044339638185984"";https://twitter.com/revbillytalen/status/64044339638185984",,,,"revbillytalen;2011-04-29 14:12;2;0;""Deny # climatechange all you want - # tornadoes don't hesitate to tell us what 392 ppm CO-2 means. TWISTERS TELL THE TRUTH. # Earthalujah!"";;;# # #;""64044339638185984"";https://twitter.com/revbillytalen/status/64044339638185984 ",
"CoffeeNate;2011-04-29 14:11;0;0;""RT @ ShotOfCoffee: Fresh Brews: Kcups  Growing Coffee At Home  Climate Change And Our Coffee",, Climate Change And Our Coffee,,,"CoffeeNate;2011-04-29 14:11;0;0;""RT @ ShotOfCoffee: Fresh Brews: Kcups",, Growing Coffee At Home,,"CoffeeNate;2011-04-29 14:11;0;0;""RT @ ShotOfCoffee: Fresh Brews: Kcups  Growing Coffee At Home",
"shatner99;2011-04-29 14:10;0;0;""Is climate change to blame for the devastating tornadoes? http://huff.to/keDM29 via @ huffingtonpost Nope  just Jesus. Thanks loser!"";;@;;""64044019042369536"";https://twitter.com/shatner99/status/64044019042369536 ",,,,,"shatner99;2011-04-29 14:10;0;0;""Is climate change to blame for the devastating tornadoes? http://huff.to/keDM29 via @ huffingtonpost Nope",," just Jesus. Thanks loser!"";;@;;""64044019042369536"";https://twitter.com/shatner99/status/64044019042369536",,"shatner99;2011-04-29 14:10;0;0;""Is climate change to blame for the devastating tornadoes? http://huff.to/keDM29 via @ huffingtonpost Nope  just Jesus. Thanks loser!"";;@;;""64044019042369536"";https://twitter.com/shatner99/status/64044019042369536",
"lazarogonzale;2011-04-29 14:10;0;0;""The Latest Climate Change Hoax Now Being Blamed for Tornado Devastation in South http://goo.gl/fb/VO6ws"";;;;""64043975119618048"";https://twitter.com/lazarogonzale/status/64043975119618048  ",,,,,"lazarogonzale;2011-04-29 14:10;0;0;""The Latest Climate Change Hoax Now Being Blamed for Tornado Devastation in South http://goo.gl/fb/VO6ws"";;;;""64043975119618048"";https://twitter.com/lazarogonzale/status/64043975119618048",,,,"lazarogonzale;2011-04-29 14:10;0;0;""The Latest Climate Change Hoax Now Being Blamed for Tornado Devastation in South http://goo.gl/fb/VO6ws"";;;;""64043975119618048"";https://twitter.com/lazarogonzale/status/64043975119618048 ",
"eastern_wolf;2011-04-29 14:10;0;0;""RT @ Ecocommish: extreme weather is how we will first encounter climate change http://bit.ly/maPhsV and adaptation is how we must respond"";;@;;""64043926096588800"";https://twitter.com/eastern_wolf/status/64043926096588800  ",,,,,"eastern_wolf;2011-04-29 14:10;0;0;""RT @ Ecocommish: extreme weather is how we will first encounter climate change http://bit.ly/maPhsV and adaptation is how we must respond"";;@;;""64043926096588800"";https://twitter.com/eastern_wolf/status/64043926096588800",,,,"eastern_wolf;2011-04-29 14:10;0;0;""RT @ Ecocommish: extreme weather is how we will first encounter climate change http://bit.ly/maPhsV and adaptation is how we must respond"";;@;;""64043926096588800"";https://twitter.com/eastern_wolf/status/64043926096588800 ",
"divejunkee;2011-04-29 14:10;0;0;""@ dianen56: Great follow up 2 your article is ""Why bother?"" by Michael Pollan http://ow.ly/4JQOc - # environment # society # climatechange"";;@;# # #;""64043783867727872"";https://twitter.com/divejunkee/status/64043783867727872  ",,,,,"divejunkee;2011-04-29 14:10;0;0;""@ dianen56: Great follow up 2 your article is ""Why bother?"" by Michael Pollan http://ow.ly/4JQOc - # environment # society # climatechange"";;@;# # #;""64043783867727872"";https://twitter.com/divejunkee/status/64043783867727872",,,,"divejunkee;2011-04-29 14:10;0;0;""@ dianen56: Great follow up 2 your article is ""Why bother?"" by Michael Pollan http://ow.ly/4JQOc - # environment # society # climatechange"";;@;# # #;""64043783867727872"";https://twitter.com/divejunkee/status/64043783867727872 ",
"ParryThinks;2011-04-29 14:09;0;0;""@ thinkprogress: ""Scientist"" believes # climatechange causes all adverse weather until proven otherwise. # autoirony http://thkpr.gs/kBLzNc"";;@;# #;""64043700002623488"";https://twitter.com/ParryThinks/status/64043700002623488  ",,,,,"ParryThinks;2011-04-29 14:09;0;0;""@ thinkprogress: ""Scientist"" believes # climatechange causes all adverse weather until proven otherwise. # autoirony http://thkpr.gs/kBLzNc"";;@;# #;""64043700002623488"";https://twitter.com/ParryThinks/status/64043700002623488",,,,"ParryThinks;2011-04-29 14:09;0;0;""@ thinkprogress: ""Scientist"" believes # climatechange causes all adverse weather until proven otherwise. # autoirony http://thkpr.gs/kBLzNc"";;@;# #;""64043700002623488"";https://twitter.com/ParryThinks/status/64043700002623488 ",
"Bloomdido;2011-04-29 14:08;0;0;""@ Fek_Purgatory Oh follow him & will become clear. He is an 'intelligent' christian climate change denier. All the more frustrating @ ondrock"";;@ @;;""64043508822048768"";https://twitter.com/Bloomdido/status/64043508822048768  ",,,,,"Bloomdido;2011-04-29 14:08;0;0;""@ Fek_Purgatory Oh follow him & will become clear. He is an 'intelligent' christian climate change denier. All the more frustrating @ ondrock"";;@ @;;""64043508822048768"";https://twitter.com/Bloomdido/status/64043508822048768",,,,"Bloomdido;2011-04-29 14:08;0;0;""@ Fek_Purgatory Oh follow him & will become clear. He is an 'intelligent' christian climate change denier. All the more frustrating @ ondrock"";;@ @;;""64043508822048768"";https://twitter.com/Bloomdido/status/64043508822048768 ",
"GreyHawk121;2011-04-29 14:08;0;0;""@ emptywheel Ruby slippers may not solve climate change  but show Michelle Obama wearing a pair & a new weather control conspiracy is born."";;@;;""64043482817380352"";https://twitter.com/GreyHawk121/status/64043482817380352 ",,,,,"GreyHawk121;2011-04-29 14:08;0;0;""@ emptywheel Ruby slippers may not solve climate change",," but show Michelle Obama wearing a pair & a new weather control conspiracy is born."";;@;;""64043482817380352"";https://twitter.com/GreyHawk121/status/64043482817380352",,"GreyHawk121;2011-04-29 14:08;0;0;""@ emptywheel Ruby slippers may not solve climate change  but show Michelle Obama wearing a pair & a new weather control conspiracy is born."";;@;;""64043482817380352"";https://twitter.com/GreyHawk121/status/64043482817380352",
"johnvyboh;2011-04-29 14:07;2;0;""In last month's tabled budget  Conservatives proposed cutting the # climate change budget by 59% ($141 million). # cdnpoli # elxn41 # ymm # rmwb"";;;# # # # #;""64043244492820480"";https://twitter.com/johnvyboh/status/64043244492820480 ",,,,,"johnvyboh;2011-04-29 14:07;2;0;""In last month's tabled budget",," Conservatives proposed cutting the # climate change budget by 59% ($141 million). # cdnpoli # elxn41 # ymm # rmwb"";;;# # # # #;""64043244492820480"";https://twitter.com/johnvyboh/status/64043244492820480",,"johnvyboh;2011-04-29 14:07;2;0;""In last month's tabled budget  Conservatives proposed cutting the # climate change budget by 59% ($141 million). # cdnpoli # elxn41 # ymm # rmwb"";;;# # # # #;""64043244492820480"";https://twitter.com/johnvyboh/status/64043244492820480",
"emptywheel;2011-04-29 14:06;4;0;""The tornadoes this week were bigger than any since before the Wizard of Oz came out. You think ruby slippers will solve climate change?"";;;;""64043012300357632"";https://twitter.com/emptywheel/status/64043012300357632  ",,,,,"emptywheel;2011-04-29 14:06;4;0;""The tornadoes this week were bigger than any since before the Wizard of Oz came out. You think ruby slippers will solve climate change?"";;;;""64043012300357632"";https://twitter.com/emptywheel/status/64043012300357632",,,,"emptywheel;2011-04-29 14:06;4;0;""The tornadoes this week were bigger than any since before the Wizard of Oz came out. You think ruby slippers will solve climate change?"";;;;""64043012300357632"";https://twitter.com/emptywheel/status/64043012300357632 ",
"leonsp;2011-04-29 14:06;1;0;""Global warming: Critics' review unexpectedly supports scientific consensus on climate change - latimes.com: http://lat.ms/kpj0JA # pinboard"";;;#;""64042894914367488"";https://twitter.com/leonsp/status/64042894914367488  ",,,,,"leonsp;2011-04-29 14:06;1;0;""Global warming: Critics' review unexpectedly supports scientific consensus on climate change - latimes.com: http://lat.ms/kpj0JA # pinboard"";;;#;""64042894914367488"";https://twitter.com/leonsp/status/64042894914367488",,,,"leonsp;2011-04-29 14:06;1;0;""Global warming: Critics' review unexpectedly supports scientific consensus on climate change - latimes.com: http://lat.ms/kpj0JA # pinboard"";;;#;""64042894914367488"";https://twitter.com/leonsp/status/64042894914367488 ",
"ondrock;2011-04-29 14:06;1;0;""The Hypothesis That CO2 Drives Global Temperature Change Is Crumbling http://bit.ly/dSnukI # climatechange @ Bloomdido"";;@;#;""64042829781008384"";https://twitter.com/ondrock/status/64042829781008384  ",,,,,"ondrock;2011-04-29 14:06;1;0;""The Hypothesis That CO2 Drives Global Temperature Change Is Crumbling http://bit.ly/dSnukI # climatechange @ Bloomdido"";;@;#;""64042829781008384"";https://twitter.com/ondrock/status/64042829781008384",,,,"ondrock;2011-04-29 14:06;1;0;""The Hypothesis That CO2 Drives Global Temperature Change Is Crumbling http://bit.ly/dSnukI # climatechange @ Bloomdido"";;@;#;""64042829781008384"";https://twitter.com/ondrock/status/64042829781008384 ",
"TimdB;2011-04-29 14:05;0;0;""2007 was een bizar warme april zoals je die maar eens in je leven meemaakt. 2011 gaat nu waarschijnlijk zelfde score halen... # climatechange"";;;#;""64042699220725761"";https://twitter.com/TimdB/status/64042699220725761  ",,,,,"TimdB;2011-04-29 14:05;0;0;""2007 was een bizar warme april zoals je die maar eens in je leven meemaakt. 2011 gaat nu waarschijnlijk zelfde score halen... # climatechange"";;;#;""64042699220725761"";https://twitter.com/TimdB/status/64042699220725761",,,,"TimdB;2011-04-29 14:05;0;0;""2007 was een bizar warme april zoals je die maar eens in je leven meemaakt. 2011 gaat nu waarschijnlijk zelfde score halen... # climatechange"";;;#;""64042699220725761"";https://twitter.com/TimdB/status/64042699220725761 ",
"FreePresss;2011-04-29 14:04;0;0;""How climate change deniers led me to set up Skeptical Science website: What began a discussion with family membe... http://bit.ly/ieXZ8P"";;;;""64042498112237569"";https://twitter.com/FreePresss/status/64042498112237569  ",,,,,"FreePresss;2011-04-29 14:04;0;0;""How climate change deniers led me to set up Skeptical Science website: What began a discussion with family membe... http://bit.ly/ieXZ8P"";;;;""64042498112237569"";https://twitter.com/FreePresss/status/64042498112237569",,,,"FreePresss;2011-04-29 14:04;0;0;""How climate change deniers led me to set up Skeptical Science website: What began a discussion with family membe... http://bit.ly/ieXZ8P"";;;;""64042498112237569"";https://twitter.com/FreePresss/status/64042498112237569 ",
"rebeccaapeel;2011-04-29 14:04;1;0;""New Blog post from yours truly feature interview @tjsdesmog of @ DeSmogBlog talking # climatechange in # vancouver http://ow.ly/4JYnN ^A"";;@tjsdesmog @;# #;""64042427299807233"";https://twitter.com/rebeccaapeel/status/64042427299807233  ",,,,,"rebeccaapeel;2011-04-29 14:04;1;0;""New Blog post from yours truly feature interview @tjsdesmog of @ DeSmogBlog talking # climatechange in # vancouver http://ow.ly/4JYnN ^A"";;@tjsdesmog @;# #;""64042427299807233"";https://twitter.com/rebeccaapeel/status/64042427299807233",,,,"rebeccaapeel;2011-04-29 14:04;1;0;""New Blog post from yours truly feature interview @tjsdesmog of @ DeSmogBlog talking # climatechange in # vancouver http://ow.ly/4JYnN ^A"";;@tjsdesmog @;# #;""64042427299807233"";https://twitter.com/rebeccaapeel/status/64042427299807233 ",
"I_am_John_Galt_;2011-04-29 14:04;0;0;""@ thehill I thought lack of extreme weather ignited talks abt climate change. And what abt that darkening thingee every evening?"";;@;;""64042377714737152"";https://twitter.com/I_am_John_Galt_/status/64042377714737152  ",,,,,"I_am_John_Galt_;2011-04-29 14:04;0;0;""@ thehill I thought lack of extreme weather ignited talks abt climate change. And what abt that darkening thingee every evening?"";;@;;""64042377714737152"";https://twitter.com/I_am_John_Galt_/status/64042377714737152",,,,"I_am_John_Galt_;2011-04-29 14:04;0;0;""@ thehill I thought lack of extreme weather ignited talks abt climate change. And what abt that darkening thingee every evening?"";;@;;""64042377714737152"";https://twitter.com/I_am_John_Galt_/status/64042377714737152 ",
"AidResources;2011-04-29 14:04;0;0;""Joto Afrika: adapting to climate change in Africa  issue 6 http://dlvr.it/Q7S97"";;;;""64042283594547201"";https://twitter.com/AidResources/status/64042283594547201 ",,,,,"AidResources;2011-04-29 14:04;0;0;""Joto Afrika: adapting to climate change in Africa",," issue 6 http://dlvr.it/Q7S97"";;;;""64042283594547201"";https://twitter.com/AidResources/status/64042283594547201",,"AidResources;2011-04-29 14:04;0;0;""Joto Afrika: adapting to climate change in Africa  issue 6 http://dlvr.it/Q7S97"";;;;""64042283594547201"";https://twitter.com/AidResources/status/64042283594547201",
"AGW_IS_A_HOAX;2011-04-29 14:01;0;0;""Temperatures are no warmer than the 15th century http://stevengoddard.wordpress.com/2011/04/28/romm-revives-the-mwp/ … # AGW # Eco # Green # Climate # Cop16 # CO2 # GlobalWarming # ClimateChange"";;;# # # # # # # #;""64041515781062656"";https://twitter.com/AGW_IS_A_HOAX/status/64041515781062656  ",,,,,"AGW_IS_A_HOAX;2011-04-29 14:01;0;0;""Temperatures are no warmer than the 15th century http://stevengoddard.wordpress.com/2011/04/28/romm-revives-the-mwp/ … # AGW # Eco # Green # Climate # Cop16 # CO2 # GlobalWarming # ClimateChange"";;;# # # # # # # #;""64041515781062656"";https://twitter.com/AGW_IS_A_HOAX/status/64041515781062656",,,,"AGW_IS_A_HOAX;2011-04-29 14:01;0;0;""Temperatures are no warmer than the 15th century http://stevengoddard.wordpress.com/2011/04/28/romm-revives-the-mwp/ … # AGW # Eco # Green # Climate # Cop16 # CO2 # GlobalWarming # ClimateChange"";;;# # # # # # # #;""64041515781062656"";https://twitter.com/AGW_IS_A_HOAX/status/64041515781062656 ",
"marilyntbostick;2011-04-29 13:59;0;0;""Insane Storms: Science Saw it Coming  and Yes  It's Part of Climate Change | AlterNet http://bit.ly/mhOARh"";;;;""64041161349795840"";https://twitter.com/marilyntbostick/status/64041161349795840",," It's Part of Climate Change | AlterNet http://bit.ly/mhOARh"";;;;""64041161349795840"";https://twitter.com/marilyntbostick/status/64041161349795840",,,"marilyntbostick;2011-04-29 13:59;0;0;""Insane Storms: Science Saw it Coming",, and Yes,,"marilyntbostick;2011-04-29 13:59;0;0;""Insane Storms: Science Saw it Coming  and Yes",
"thehill;2011-04-29 13:59;3;0;""RT @ e2wire: Tornadoes revive debate about climate change and extreme weather http://bit.ly/iXmgX6"";;@;;""64041143880527872"";https://twitter.com/thehill/status/64041143880527872  ",,,,,"thehill;2011-04-29 13:59;3;0;""RT @ e2wire: Tornadoes revive debate about climate change and extreme weather http://bit.ly/iXmgX6"";;@;;""64041143880527872"";https://twitter.com/thehill/status/64041143880527872",,,,"thehill;2011-04-29 13:59;3;0;""RT @ e2wire: Tornadoes revive debate about climate change and extreme weather http://bit.ly/iXmgX6"";;@;;""64041143880527872"";https://twitter.com/thehill/status/64041143880527872 ",
"AudubonMag;2011-04-29 13:59;3;0;""Twister mysteries: Scientists can't predict when tornadoes will hit  or climate change's role: http://bit.ly/itjRNd"";;;;""64041079154024448"";https://twitter.com/AudubonMag/status/64041079154024448 ",,,,,"AudubonMag;2011-04-29 13:59;3;0;""Twister mysteries: Scientists can't predict when tornadoes will hit",," or climate change's role: http://bit.ly/itjRNd"";;;;""64041079154024448"";https://twitter.com/AudubonMag/status/64041079154024448",,"AudubonMag;2011-04-29 13:59;3;0;""Twister mysteries: Scientists can't predict when tornadoes will hit  or climate change's role: http://bit.ly/itjRNd"";;;;""64041079154024448"";https://twitter.com/AudubonMag/status/64041079154024448",
"kindbooks;2011-04-29 13:58;0;0;""http://www.kindbooks.net/climate-change-impacts-for-the-conterminous-usa-an-integrated-assessment.html # climate # change # scenarios # clim"";;;# # # #;""64040789084352513"";https://twitter.com/kindbooks/status/64040789084352513  ",,,,,"kindbooks;2011-04-29 13:58;0;0;""http://www.kindbooks.net/climate-change-impacts-for-the-conterminous-usa-an-integrated-assessment.html # climate # change # scenarios # clim"";;;# # # #;""64040789084352513"";https://twitter.com/kindbooks/status/64040789084352513",,,,"kindbooks;2011-04-29 13:58;0;0;""http://www.kindbooks.net/climate-change-impacts-for-the-conterminous-usa-an-integrated-assessment.html # climate # change # scenarios # clim"";;;# # # #;""64040789084352513"";https://twitter.com/kindbooks/status/64040789084352513 ",
"theplayethic;2011-04-29 13:57;0;0;""preparing for climate change - bookforum.com / omnivore http://dlvr.it/Q7R3Q http://j.mp/radbook"";;;;""64040588865056768"";https://twitter.com/theplayethic/status/64040588865056768  ",,,,,"theplayethic;2011-04-29 13:57;0;0;""preparing for climate change - bookforum.com / omnivore http://dlvr.it/Q7R3Q http://j.mp/radbook"";;;;""64040588865056768"";https://twitter.com/theplayethic/status/64040588865056768",,,,"theplayethic;2011-04-29 13:57;0;0;""preparing for climate change - bookforum.com / omnivore http://dlvr.it/Q7R3Q http://j.mp/radbook"";;;;""64040588865056768"";https://twitter.com/theplayethic/status/64040588865056768 ",
"greendreamjobs;2011-04-29 13:56;0;0;""Director  Climate Change - Skoll Global Threats Fund http://goo.gl/fb/6bTys"";;;;""64040492391858176"";https://twitter.com/greendreamjobs/status/64040492391858176 ",,,,,"greendreamjobs;2011-04-29 13:56;0;0;""Director",," Climate Change - Skoll Global Threats Fund http://goo.gl/fb/6bTys"";;;;""64040492391858176"";https://twitter.com/greendreamjobs/status/64040492391858176",,"greendreamjobs;2011-04-29 13:56;0;0;""Director  Climate Change - Skoll Global Threats Fund http://goo.gl/fb/6bTys"";;;;""64040492391858176"";https://twitter.com/greendreamjobs/status/64040492391858176",
"juliandarley;2011-04-29 13:56;0;0;""@ HuffingtonPost: 2011 Tornadoes - Is Climate Change To Blame? http://huff.to/mTEnoa - throws up the old problem of climate vs weather"";;@;;""64040454085287936"";https://twitter.com/juliandarley/status/64040454085287936  ",,,,,"juliandarley;2011-04-29 13:56;0;0;""@ HuffingtonPost: 2011 Tornadoes - Is Climate Change To Blame? http://huff.to/mTEnoa - throws up the old problem of climate vs weather"";;@;;""64040454085287936"";https://twitter.com/juliandarley/status/64040454085287936",,,,"juliandarley;2011-04-29 13:56;0;0;""@ HuffingtonPost: 2011 Tornadoes - Is Climate Change To Blame? http://huff.to/mTEnoa - throws up the old problem of climate vs weather"";;@;;""64040454085287936"";https://twitter.com/juliandarley/status/64040454085287936 ",
"_NewsReleases_;2011-04-29 13:56;0;0;""Journalist Casts Climate Change as Public Health Crisis http://bit.ly/l1Hmnd @ _a_University"";;@;;""64040302704459776"";https://twitter.com/_NewsReleases_/status/64040302704459776  ",,,,,"_NewsReleases_;2011-04-29 13:56;0;0;""Journalist Casts Climate Change as Public Health Crisis http://bit.ly/l1Hmnd @ _a_University"";;@;;""64040302704459776"";https://twitter.com/_NewsReleases_/status/64040302704459776",,,,"_NewsReleases_;2011-04-29 13:56;0;0;""Journalist Casts Climate Change as Public Health Crisis http://bit.ly/l1Hmnd @ _a_University"";;@;;""64040302704459776"";https://twitter.com/_NewsReleases_/status/64040302704459776 ",
"_a_University;2011-04-29 13:56;0;0;""Journalist Casts Climate Change as Public Health Crisis http://bit.ly/mz0O54 # university"";;;#;""64040292524896256"";https://twitter.com/_a_University/status/64040292524896256  ",,,,,"_a_University;2011-04-29 13:56;0;0;""Journalist Casts Climate Change as Public Health Crisis http://bit.ly/mz0O54 # university"";;;#;""64040292524896256"";https://twitter.com/_a_University/status/64040292524896256",,,,"_a_University;2011-04-29 13:56;0;0;""Journalist Casts Climate Change as Public Health Crisis http://bit.ly/mz0O54 # university"";;;#;""64040292524896256"";https://twitter.com/_a_University/status/64040292524896256 ",
