tweets,,,,,,,,,,,tweets ,,,,,username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,
"TheDailyEdge;2015-04-29 18:55;202;126;""Pope warns that manmade # climatechange is destroying God's creation. Republicans encourage you to keep polluting and pray for the Rapture."";;;#;""593564243322130432"";https://twitter.com/TheDailyEdge/status/593564243322130432 ",,,,,,,,,,,"TheDailyEdge;2015-04-29 18:55;202;126;""Pope warns that manmade # climatechange is destroying God's creation. Republicans encourage you to keep polluting and pray for the Rapture."";;;#;""593564243322130432"";https://twitter.com/TheDailyEdge/status/593564243322130432  ",,,,,"TheDailyEdge;2015-04-29 18:55;202;126;""Pope warns that manmade # climatechange is destroying God's creation. Republicans encourage you to keep polluting and pray for the Rapture."";;;#;""593564243322130432"";https://twitter.com/TheDailyEdge/status/593564243322130432",,,
"ClimateSystem;2015-04-29 18:55;0;0;""Our own @ SafariPenguin features in this @ guardian story about how climate change affects health. http://www.theguardian.com/environment/2015/apr/29/climate-change-will-significantly-affect-australians-health-report-finds …"";;@ @;;""593564211722096641"";https://twitter.com/ClimateSystem/status/593564211722096641 ",,,,,,,,,,,"ClimateSystem;2015-04-29 18:55;0;0;""Our own @ SafariPenguin features in this @ guardian story about how climate change affects health. http://www.theguardian.com/environment/2015/apr/29/climate-change-will-significantly-affect-australians-health-report-finds …"";;@ @;;""593564211722096641"";https://twitter.com/ClimateSystem/status/593564211722096641  ",,,,,"ClimateSystem;2015-04-29 18:55;0;0;""Our own @ SafariPenguin features in this @ guardian story about how climate change affects health. http://www.theguardian.com/environment/2015/apr/29/climate-change-will-significantly-affect-australians-health-report-finds …"";;@ @;;""593564211722096641"";https://twitter.com/ClimateSystem/status/593564211722096641",,,
"7genblogger;2015-04-29 18:55;0;0;""Climate change is a big grave risk to us all - food shortages  resource wars",,,,,,,,,,,"7genblogger;2015-04-29 18:55;0;0;""Climate change is a big grave risk to us all - food shortages  resource wars  coastal… https://plus.google.com/+DavidHerron/posts/38EGKgqSqTX …pic.twitter.com/wGH08hYt4p"";;;;""593564170576007168"";https://twitter.com/7genblogger/status/593564170576007168",,,,,"7genblogger;2015-04-29 18:55;0;0;""Climate change is a big grave risk to us all - food shortages", resource wars," coastal… https://plus.google.com/+DavidHerron/posts/38EGKgqSqTX …pic.twitter.com/wGH08hYt4p"";;;;""593564170576007168"";https://twitter.com/7genblogger/status/593564170576007168",
"TeaPartyOrg;2015-04-29 18:55;8;2;""Venezuela Rations Electricity  Blames Climate Change - http://bit.ly/1IoDN5A # tcot"";;;#;""593564169875501056"";https://twitter.com/TeaPartyOrg/status/593564169875501056",,,,,,,,,,,"TeaPartyOrg;2015-04-29 18:55;8;2;""Venezuela Rations Electricity  Blames Climate Change - http://bit.ly/1IoDN5A # tcot"";;;#;""593564169875501056"";https://twitter.com/TeaPartyOrg/status/593564169875501056 ",,,,,"TeaPartyOrg;2015-04-29 18:55;8;2;""Venezuela Rations Electricity"," Blames Climate Change - http://bit.ly/1IoDN5A # tcot"";;;#;""593564169875501056"";https://twitter.com/TeaPartyOrg/status/593564169875501056",,
"michael_at_work;2015-04-29 18:54;0;0;""@ TheAtlantic ""It's not unlike the challenge we all face in confronting climate change: How do you chip away at a remote and massive threat?"""";;@;;""593564163491778560"";https://twitter.com/michael_at_work/status/593564163491778560 ",,,,,,,,,,,"michael_at_work;2015-04-29 18:54;0;0;""@ TheAtlantic ""It's not unlike the challenge we all face in confronting climate change: How do you chip away at a remote and massive threat?"""";;@;;""593564163491778560"";https://twitter.com/michael_at_work/status/593564163491778560  ",,,,,"michael_at_work;2015-04-29 18:54;0;0;""@ TheAtlantic ""It's not unlike the challenge we all face in confronting climate change: How do you chip away at a remote and massive threat?"""";;@;;""593564163491778560"";https://twitter.com/michael_at_work/status/593564163491778560",,,
"Gay_Alcorn;2015-04-29 18:54;1;0;""Climate change will significantly affect Australians’ health  report finds http://gu.com/p/48vmc/stw"";;;;""593564139475243008"";https://twitter.com/Gay_Alcorn/status/593564139475243008",,,,,,,,,,,"Gay_Alcorn;2015-04-29 18:54;1;0;""Climate change will significantly affect Australians’ health  report finds http://gu.com/p/48vmc/stw"";;;;""593564139475243008"";https://twitter.com/Gay_Alcorn/status/593564139475243008 ",,,,,"Gay_Alcorn;2015-04-29 18:54;1;0;""Climate change will significantly affect Australians’ health"," report finds http://gu.com/p/48vmc/stw"";;;;""593564139475243008"";https://twitter.com/Gay_Alcorn/status/593564139475243008",,
"olliemilman;2015-04-29 18:54;9;1;""Climate change will significantly affect Australians’ health  report finds http://gu.com/p/48vmc/stw"";;;;""593564043505307650"";https://twitter.com/olliemilman/status/593564043505307650",,,,,,,,,,,"olliemilman;2015-04-29 18:54;9;1;""Climate change will significantly affect Australians’ health  report finds http://gu.com/p/48vmc/stw"";;;;""593564043505307650"";https://twitter.com/olliemilman/status/593564043505307650 ",,,,,"olliemilman;2015-04-29 18:54;9;1;""Climate change will significantly affect Australians’ health"," report finds http://gu.com/p/48vmc/stw"";;;;""593564043505307650"";https://twitter.com/olliemilman/status/593564043505307650",,
"GlobalWarming36;2015-04-29 18:54;0;0;""In Paris  Ban discusses Mediterranean crisis and climate change with President ... - UN News Centre http://dlvr.it/9bz54C"";;;;""593563962177757184"";https://twitter.com/GlobalWarming36/status/593563962177757184",,,,,,,,,,,"GlobalWarming36;2015-04-29 18:54;0;0;""In Paris  Ban discusses Mediterranean crisis and climate change with President ... - UN News Centre http://dlvr.it/9bz54C"";;;;""593563962177757184"";https://twitter.com/GlobalWarming36/status/593563962177757184 ",,,,,"GlobalWarming36;2015-04-29 18:54;0;0;""In Paris"," Ban discusses Mediterranean crisis and climate change with President ... - UN News Centre http://dlvr.it/9bz54C"";;;;""593563962177757184"";https://twitter.com/GlobalWarming36/status/593563962177757184",,
"gpstberg;2015-04-29 18:54;0;0;""Bullock calls for development of Keystone XL  acknowledges climate change: http://bit.ly/1Er2USg  via @ missoulian # mtpol # montana"";;@;# #;""593563946583339008"";https://twitter.com/gpstberg/status/593563946583339008",,,,,,,,,,,"gpstberg;2015-04-29 18:54;0;0;""Bullock calls for development of Keystone XL  acknowledges climate change: http://bit.ly/1Er2USg  via @ missoulian # mtpol # montana"";;@;# #;""593563946583339008"";https://twitter.com/gpstberg/status/593563946583339008 ",,,,,"gpstberg;2015-04-29 18:54;0;0;""Bullock calls for development of Keystone XL"," acknowledges climate change: http://bit.ly/1Er2USg  via @ missoulian # mtpol # montana"";;@;# #;""593563946583339008"";https://twitter.com/gpstberg/status/593563946583339008",,
"ClimateChange19;2015-04-29 18:54;0;0;""In Paris  Ban discusses Mediterranean crisis and climate change with President ... - UN News Centre http://dlvr.it/9bz71N"";;;;""593563943626416129"";https://twitter.com/ClimateChange19/status/593563943626416129",,,,,,,,,,,"ClimateChange19;2015-04-29 18:54;0;0;""In Paris  Ban discusses Mediterranean crisis and climate change with President ... - UN News Centre http://dlvr.it/9bz71N"";;;;""593563943626416129"";https://twitter.com/ClimateChange19/status/593563943626416129 ",,,,,"ClimateChange19;2015-04-29 18:54;0;0;""In Paris"," Ban discusses Mediterranean crisis and climate change with President ... - UN News Centre http://dlvr.it/9bz71N"";;;;""593563943626416129"";https://twitter.com/ClimateChange19/status/593563943626416129",,
